,event_name,event_pic,desc_line,event_desc,event_place,event_dt,event_price,event_tag
0,Карусель для трех одиноких дам с оркестром,https://abws.bycard.by/uploads/events/thumbs/300x430/9SwcwhpZJ.jpg,"13 мая - 20 августа, 120 мин., Комедия, Premium, Дом Литератора, от 10.00 - до 25.00р., 12+, ","4 декабря 2021 года всемто спектакля “Карусель для трех одиноких дам с оркестром” пройдет спектакль “Корпоратив”!
 
 
 
КАРУСЕЛЬ
ДЛЯ ТРЕХ ОДИНОКИХ ДАМ И ОРКЕСТРА
По пьесе Юрия Суходольского
 
Режиссер-постановщик: Наталия Башева
 
Необыкновенная история обычных людей. История, в которой сердце оказывается мудрее разума. История, в которой граница между вымыслом и реальностью тает у вас на глазах. Чудеса случаются? Редко… И всё-таки случаются!
 
С детской непосредственностью, сотрудница провинциального литературного музея Елена Сизова вызывает двух своих одноклассниц на собственные похороны. Их негодованию нет предела, когда они встречают живую и здоровую Сизову, которая немедленно сообщает им, что собирается замуж. А вскоре выясняется, что жених Сизовой и не подозревает, что скоро женится…
 
Можно ли осмелиться любить и начать жизнь сначала, когда вот-вот пойдут внуки? И что делать, если душа инстинктивно чувствует ловушку и мудро не собирается взрослеть?
 
Организатор: ООО «Театральная мастерская Наталии Башевой»
 Читать описание",Дом Литератора,2022-06-13T19:00:00+03:00,"10,00 р. - 25,00 р.",
0,Карусель для трех одиноких дам с оркестром,https://abws.bycard.by/uploads/events/thumbs/300x430/9SwcwhpZJ.jpg,"13 мая - 20 августа, 120 мин., Комедия, Premium, Дом Литератора, от 10.00 - до 25.00р., 12+, ","4 декабря 2021 года всемто спектакля “Карусель для трех одиноких дам с оркестром” пройдет спектакль “Корпоратив”!
 
 
 
КАРУСЕЛЬ
ДЛЯ ТРЕХ ОДИНОКИХ ДАМ И ОРКЕСТРА
По пьесе Юрия Суходольского
 
Режиссер-постановщик: Наталия Башева
 
Необыкновенная история обычных людей. История, в которой сердце оказывается мудрее разума. История, в которой граница между вымыслом и реальностью тает у вас на глазах. Чудеса случаются? Редко… И всё-таки случаются!
 
С детской непосредственностью, сотрудница провинциального литературного музея Елена Сизова вызывает двух своих одноклассниц на собственные похороны. Их негодованию нет предела, когда они встречают живую и здоровую Сизову, которая немедленно сообщает им, что собирается замуж. А вскоре выясняется, что жених Сизовой и не подозревает, что скоро женится…
 
Можно ли осмелиться любить и начать жизнь сначала, когда вот-вот пойдут внуки? И что делать, если душа инстинктивно чувствует ловушку и мудро не собирается взрослеть?
 
Организатор: ООО «Театральная мастерская Наталии Башевой»
 Читать описание",Дом Литератора,2022-07-04T19:00:00+03:00,"10,00 р. - 25,00 р.",
0,Карусель для трех одиноких дам с оркестром,https://abws.bycard.by/uploads/events/thumbs/300x430/9SwcwhpZJ.jpg,"13 мая - 20 августа, 120 мин., Комедия, Premium, Дом Литератора, от 10.00 - до 25.00р., 12+, ","4 декабря 2021 года всемто спектакля “Карусель для трех одиноких дам с оркестром” пройдет спектакль “Корпоратив”!
 
 
 
КАРУСЕЛЬ
ДЛЯ ТРЕХ ОДИНОКИХ ДАМ И ОРКЕСТРА
По пьесе Юрия Суходольского
 
Режиссер-постановщик: Наталия Башева
 
Необыкновенная история обычных людей. История, в которой сердце оказывается мудрее разума. История, в которой граница между вымыслом и реальностью тает у вас на глазах. Чудеса случаются? Редко… И всё-таки случаются!
 
С детской непосредственностью, сотрудница провинциального литературного музея Елена Сизова вызывает двух своих одноклассниц на собственные похороны. Их негодованию нет предела, когда они встречают живую и здоровую Сизову, которая немедленно сообщает им, что собирается замуж. А вскоре выясняется, что жених Сизовой и не подозревает, что скоро женится…
 
Можно ли осмелиться любить и начать жизнь сначала, когда вот-вот пойдут внуки? И что делать, если душа инстинктивно чувствует ловушку и мудро не собирается взрослеть?
 
Организатор: ООО «Театральная мастерская Наталии Башевой»
 Читать описание",Дом Литератора,2022-08-21T19:00:00+03:00,"10,00 р. - 25,00 р.",
0,Карусель для трех одиноких дам с оркестром,https://abws.bycard.by/uploads/events/thumbs/300x430/9SwcwhpZJ.jpg,"13 мая - 20 августа, 120 мин., Комедия, Premium, Дом Литератора, от 10.00 - до 25.00р., 12+, ","4 декабря 2021 года всемто спектакля “Карусель для трех одиноких дам с оркестром” пройдет спектакль “Корпоратив”!
 
 
 
КАРУСЕЛЬ
ДЛЯ ТРЕХ ОДИНОКИХ ДАМ И ОРКЕСТРА
По пьесе Юрия Суходольского
 
Режиссер-постановщик: Наталия Башева
 
Необыкновенная история обычных людей. История, в которой сердце оказывается мудрее разума. История, в которой граница между вымыслом и реальностью тает у вас на глазах. Чудеса случаются? Редко… И всё-таки случаются!
 
С детской непосредственностью, сотрудница провинциального литературного музея Елена Сизова вызывает двух своих одноклассниц на собственные похороны. Их негодованию нет предела, когда они встречают живую и здоровую Сизову, которая немедленно сообщает им, что собирается замуж. А вскоре выясняется, что жених Сизовой и не подозревает, что скоро женится…
 
Можно ли осмелиться любить и начать жизнь сначала, когда вот-вот пойдут внуки? И что делать, если душа инстинктивно чувствует ловушку и мудро не собирается взрослеть?
 
Организатор: ООО «Театральная мастерская Наталии Башевой»
 Читать описание",Дом Литератора,2022-09-20T19:00:00+03:00,"10,00 р. - 25,00 р.",
0,Сірожа,https://abws.bycard.by/uploads/events/thumbs/300x430/7j4kEP3k3.jpg,"16 мая - 23 июня, 210 мин., Premium, Рэспубліканскі тэатр беларускай драматургіі, 16+, ","Спектакль «Сірожа» на сцэне Рэспублiканскага тэатра беларускай драматургii
Жыццё ў дзвюх эпохах
 
Аўтар: Юлія Чарняўская
Рэжысёр-пастаноўшчык: Аляксандр Гарцуеў
Сцэнаграфія: Юрый Саламонаў
Мастак па касцюмах: Марына Алекна
Арыгинальная музыка и музычнае афармленне: Дзмітрый Фрыга
 
Прэм’ера: 10 ліпеня 2019
Працягласць: 3 г. 30 хв. з антрактам
 
Юлія Чарняўская: «Сірожа» – гэта гісторыя пра юнацтва маіх аднагодкаў – і пра іх сталасць. Пра ганенне і помсту. Пра тое, як учынкі людзей, зробленыя ў маладосці па дурасці, непрыкметна становяцца ніцямі лёсу, а дробязі ткуць непапраўнасць будучыні. І галоўнае – пра тое, як неабходна прабачэнне. Гэта разуменне таго, чаму галоўны герой стаў тым, кім стаў.»
Спектакль «Сірожа» – трэці спектакль у РТБД, створаны па п’есе Юліі Чарняўскай.
 
У ролях:
 
Эпоха першая. 1980 год.
 
Сірожа Бабіч – Максім Брагінец
Дзіна – Ганна Семяняка
Максім – Аляксандр Ніканенка
Гена – Мікалай Стонька, Максім Шышко
Міша – Дмітрый Давідовіч, Арцём Курэнь
Дзядзька Пеця – Валянцін Салаўёў
Ала Іванаўна – Алена Баярава, Марыя Пятровіч
Камендант – Віктар Багушэвіч, Максім Паніматчанка
Фарцоўшчык – Уладзіслаў Ноздрын, Ілля Ясінскі
Дзеушка Оля – Гражына Быкава
Дзеушка Таня – Кацярына Жалудок.
 
Эпоха другая. 2012 год.
 
Сяргей Бабіч – Андрэй Дабравольскі
Дзіна – Вераніка Буслаева
Максім – Андрэй Новік
Гена – Канстанцін Воранаў
Міша – Сяргей Шымко
Дзядзька Пеця – Валянцін Салаўёў
Лея – Анастасія Баброва, Марына Здаранкова
 
Республиканский театр белорусской драматургииЧитать описание",Рэспубліканскі тэатр беларускай драматургіі,2022-06-16T19:00:00+03:00,,
0,Сірожа,https://abws.bycard.by/uploads/events/thumbs/300x430/7j4kEP3k3.jpg,"16 мая - 23 июня, 210 мин., Premium, Рэспубліканскі тэатр беларускай драматургіі, 16+, ","Спектакль «Сірожа» на сцэне Рэспублiканскага тэатра беларускай драматургii
Жыццё ў дзвюх эпохах
 
Аўтар: Юлія Чарняўская
Рэжысёр-пастаноўшчык: Аляксандр Гарцуеў
Сцэнаграфія: Юрый Саламонаў
Мастак па касцюмах: Марына Алекна
Арыгинальная музыка и музычнае афармленне: Дзмітрый Фрыга
 
Прэм’ера: 10 ліпеня 2019
Працягласць: 3 г. 30 хв. з антрактам
 
Юлія Чарняўская: «Сірожа» – гэта гісторыя пра юнацтва маіх аднагодкаў – і пра іх сталасць. Пра ганенне і помсту. Пра тое, як учынкі людзей, зробленыя ў маладосці па дурасці, непрыкметна становяцца ніцямі лёсу, а дробязі ткуць непапраўнасць будучыні. І галоўнае – пра тое, як неабходна прабачэнне. Гэта разуменне таго, чаму галоўны герой стаў тым, кім стаў.»
Спектакль «Сірожа» – трэці спектакль у РТБД, створаны па п’есе Юліі Чарняўскай.
 
У ролях:
 
Эпоха першая. 1980 год.
 
Сірожа Бабіч – Максім Брагінец
Дзіна – Ганна Семяняка
Максім – Аляксандр Ніканенка
Гена – Мікалай Стонька, Максім Шышко
Міша – Дмітрый Давідовіч, Арцём Курэнь
Дзядзька Пеця – Валянцін Салаўёў
Ала Іванаўна – Алена Баярава, Марыя Пятровіч
Камендант – Віктар Багушэвіч, Максім Паніматчанка
Фарцоўшчык – Уладзіслаў Ноздрын, Ілля Ясінскі
Дзеушка Оля – Гражына Быкава
Дзеушка Таня – Кацярына Жалудок.
 
Эпоха другая. 2012 год.
 
Сяргей Бабіч – Андрэй Дабравольскі
Дзіна – Вераніка Буслаева
Максім – Андрэй Новік
Гена – Канстанцін Воранаў
Міша – Сяргей Шымко
Дзядзька Пеця – Валянцін Салаўёў
Лея – Анастасія Баброва, Марына Здаранкова
 
Республиканский театр белорусской драматургииЧитать описание",Рэспубліканскі тэатр беларускай драматургіі,2022-06-28T18:00:00+03:00,,
0,Сірожа,https://abws.bycard.by/uploads/events/thumbs/300x430/7j4kEP3k3.jpg,"16 мая - 23 июня, 210 мин., Premium, Рэспубліканскі тэатр беларускай драматургіі, 16+, ","Спектакль «Сірожа» на сцэне Рэспублiканскага тэатра беларускай драматургii
Жыццё ў дзвюх эпохах
 
Аўтар: Юлія Чарняўская
Рэжысёр-пастаноўшчык: Аляксандр Гарцуеў
Сцэнаграфія: Юрый Саламонаў
Мастак па касцюмах: Марына Алекна
Арыгинальная музыка и музычнае афармленне: Дзмітрый Фрыга
 
Прэм’ера: 10 ліпеня 2019
Працягласць: 3 г. 30 хв. з антрактам
 
Юлія Чарняўская: «Сірожа» – гэта гісторыя пра юнацтва маіх аднагодкаў – і пра іх сталасць. Пра ганенне і помсту. Пра тое, як учынкі людзей, зробленыя ў маладосці па дурасці, непрыкметна становяцца ніцямі лёсу, а дробязі ткуць непапраўнасць будучыні. І галоўнае – пра тое, як неабходна прабачэнне. Гэта разуменне таго, чаму галоўны герой стаў тым, кім стаў.»
Спектакль «Сірожа» – трэці спектакль у РТБД, створаны па п’есе Юліі Чарняўскай.
 
У ролях:
 
Эпоха першая. 1980 год.
 
Сірожа Бабіч – Максім Брагінец
Дзіна – Ганна Семяняка
Максім – Аляксандр Ніканенка
Гена – Мікалай Стонька, Максім Шышко
Міша – Дмітрый Давідовіч, Арцём Курэнь
Дзядзька Пеця – Валянцін Салаўёў
Ала Іванаўна – Алена Баярава, Марыя Пятровіч
Камендант – Віктар Багушэвіч, Максім Паніматчанка
Фарцоўшчык – Уладзіслаў Ноздрын, Ілля Ясінскі
Дзеушка Оля – Гражына Быкава
Дзеушка Таня – Кацярына Жалудок.
 
Эпоха другая. 2012 год.
 
Сяргей Бабіч – Андрэй Дабравольскі
Дзіна – Вераніка Буслаева
Максім – Андрэй Новік
Гена – Канстанцін Воранаў
Міша – Сяргей Шымко
Дзядзька Пеця – Валянцін Салаўёў
Лея – Анастасія Баброва, Марына Здаранкова
 
Республиканский театр белорусской драматургииЧитать описание",Рэспубліканскі тэатр беларускай драматургіі,2022-07-08T19:00:00+03:00,,
0,Сірожа,https://abws.bycard.by/uploads/events/thumbs/300x430/7j4kEP3k3.jpg,"16 мая - 23 июня, 210 мин., Premium, Рэспубліканскі тэатр беларускай драматургіі, 16+, ","Спектакль «Сірожа» на сцэне Рэспублiканскага тэатра беларускай драматургii
Жыццё ў дзвюх эпохах
 
Аўтар: Юлія Чарняўская
Рэжысёр-пастаноўшчык: Аляксандр Гарцуеў
Сцэнаграфія: Юрый Саламонаў
Мастак па касцюмах: Марына Алекна
Арыгинальная музыка и музычнае афармленне: Дзмітрый Фрыга
 
Прэм’ера: 10 ліпеня 2019
Працягласць: 3 г. 30 хв. з антрактам
 
Юлія Чарняўская: «Сірожа» – гэта гісторыя пра юнацтва маіх аднагодкаў – і пра іх сталасць. Пра ганенне і помсту. Пра тое, як учынкі людзей, зробленыя ў маладосці па дурасці, непрыкметна становяцца ніцямі лёсу, а дробязі ткуць непапраўнасць будучыні. І галоўнае – пра тое, як неабходна прабачэнне. Гэта разуменне таго, чаму галоўны герой стаў тым, кім стаў.»
Спектакль «Сірожа» – трэці спектакль у РТБД, створаны па п’есе Юліі Чарняўскай.
 
У ролях:
 
Эпоха першая. 1980 год.
 
Сірожа Бабіч – Максім Брагінец
Дзіна – Ганна Семяняка
Максім – Аляксандр Ніканенка
Гена – Мікалай Стонька, Максім Шышко
Міша – Дмітрый Давідовіч, Арцём Курэнь
Дзядзька Пеця – Валянцін Салаўёў
Ала Іванаўна – Алена Баярава, Марыя Пятровіч
Камендант – Віктар Багушэвіч, Максім Паніматчанка
Фарцоўшчык – Уладзіслаў Ноздрын, Ілля Ясінскі
Дзеушка Оля – Гражына Быкава
Дзеушка Таня – Кацярына Жалудок.
 
Эпоха другая. 2012 год.
 
Сяргей Бабіч – Андрэй Дабравольскі
Дзіна – Вераніка Буслаева
Максім – Андрэй Новік
Гена – Канстанцін Воранаў
Міша – Сяргей Шымко
Дзядзька Пеця – Валянцін Салаўёў
Лея – Анастасія Баброва, Марына Здаранкова
 
Республиканский театр белорусской драматургииЧитать описание",Рэспубліканскі тэатр беларускай драматургіі,2022-07-19T18:00:00+03:00,,
0,Сірожа,https://abws.bycard.by/uploads/events/thumbs/300x430/7j4kEP3k3.jpg,"16 мая - 23 июня, 210 мин., Premium, Рэспубліканскі тэатр беларускай драматургіі, 16+, ","Спектакль «Сірожа» на сцэне Рэспублiканскага тэатра беларускай драматургii
Жыццё ў дзвюх эпохах
 
Аўтар: Юлія Чарняўская
Рэжысёр-пастаноўшчык: Аляксандр Гарцуеў
Сцэнаграфія: Юрый Саламонаў
Мастак па касцюмах: Марына Алекна
Арыгинальная музыка и музычнае афармленне: Дзмітрый Фрыга
 
Прэм’ера: 10 ліпеня 2019
Працягласць: 3 г. 30 хв. з антрактам
 
Юлія Чарняўская: «Сірожа» – гэта гісторыя пра юнацтва маіх аднагодкаў – і пра іх сталасць. Пра ганенне і помсту. Пра тое, як учынкі людзей, зробленыя ў маладосці па дурасці, непрыкметна становяцца ніцямі лёсу, а дробязі ткуць непапраўнасць будучыні. І галоўнае – пра тое, як неабходна прабачэнне. Гэта разуменне таго, чаму галоўны герой стаў тым, кім стаў.»
Спектакль «Сірожа» – трэці спектакль у РТБД, створаны па п’есе Юліі Чарняўскай.
 
У ролях:
 
Эпоха першая. 1980 год.
 
Сірожа Бабіч – Максім Брагінец
Дзіна – Ганна Семяняка
Максім – Аляксандр Ніканенка
Гена – Мікалай Стонька, Максім Шышко
Міша – Дмітрый Давідовіч, Арцём Курэнь
Дзядзька Пеця – Валянцін Салаўёў
Ала Іванаўна – Алена Баярава, Марыя Пятровіч
Камендант – Віктар Багушэвіч, Максім Паніматчанка
Фарцоўшчык – Уладзіслаў Ноздрын, Ілля Ясінскі
Дзеушка Оля – Гражына Быкава
Дзеушка Таня – Кацярына Жалудок.
 
Эпоха другая. 2012 год.
 
Сяргей Бабіч – Андрэй Дабравольскі
Дзіна – Вераніка Буслаева
Максім – Андрэй Новік
Гена – Канстанцін Воранаў
Міша – Сяргей Шымко
Дзядзька Пеця – Валянцін Салаўёў
Лея – Анастасія Баброва, Марына Здаранкова
 
Республиканский театр белорусской драматургииЧитать описание",Рэспубліканскі тэатр беларускай драматургіі,2022-07-24T19:00:00+03:00,,
0,"Спектакль ""Восем закаханых жанчын""",https://abws.bycard.by/uploads/events/thumbs/300x430/277c2Rg27.jpg,"27 мая, 130 мин., Premium, Театр юного зрителя, 16+, ","Спектакль ""Восем закаханых жанчын""
 
Дзіўныя ночы выпадаюць на Каляды! Адной такой, ціхай і святой, дастаткова, каб сакрэты ды таямніцы, якія сямейнікі назапашвалі гадамі, высветліліся й выкрыліся. Ды так, што заставацца – хоць пад адным дахам, хоць за высачэзнай агароджай старога дома ўжо небяспечна, а ўцякаць няма куды!
Выйсце? Знойдзецца.
Але плата за выйсце зробіцца падобнай да адплаты.
Прэм’ера:13 снежня 2019 года.",Театр юного зрителя,2022-06-27T19:00:00+03:00,,
